year,season,tea_kind,code,sample_label,polyphenol,FAA,Theanine,caffeine,Gallic_Acid,Catechin,GC,EGC,EC,EGCG,GCG,ECG,CG,total_catechins
108,6th,black tea,DP,3,44.78560325,7.962106812,2.244516219,20.5312333,2.59391163,0,0,0,0,0,0,3.787335374,NA,3.787335374
108,6th,black tea,T8,1,67.75180556,14.16020444,1.279046909,29.82038638,3.77750173,0,0,0,0.962532831,13.30233172,3.904905905,4.852887415,NA,26.8001596
108,6th,black tea,T8,2,67.11935351,13.18070212,1.316321318,29.74785182,3.785203501,0,0,0,0.913321749,13.24809953,3.811806415,4.82313455,NA,26.58156574
108,6th,black tea,T8,3,65.00996182,10.8238949,1.091583302,28.57290015,3.708706731,0,0,0,0.66332278,12.82254925,3.615579328,4.774252177,NA,25.58441026
108,6th,black tea,T12,1,44.3852609,5.300659226,5.741467397,12.77891824,2.234362942,0,0,0,0.963196011,11.32487051,0,0,NA,14.52242947
108,6th,black tea,T12,2,40.47289651,6.997059587,5.87299111,12.6628277,2.009308091,0,0,0,0.824163948,11.13843314,0,0,NA,13.97190518
108,6th,black tea,T12,3,42.81721458,7.105490686,5.097977467,13.08739659,2.159566985,0,0,0,0.987262767,11.24663578,0,0,NA,14.39346553
108,6th,black tea,T17,1,99.72081549,10.00745303,5.742317871,18.78280342,2.163378887,0,0,0,0,12.00465565,0,4.67680389,NA,18.84483843
108,6th,black tea,T17,2,92.36568011,11.11332359,5.662650398,18.43772657,2.027494793,0,0,0,0,11.83609151,0,4.654019934,NA,18.51760623
108,6th,black tea,T17,3,95.7684261,12.33633898,5.523284358,19.60994544,2.116925491,0,0,0,0,12.16558361,0,4.837099223,NA,19.11960832
109,1st,fresh leaves,DP,1,76.74978125,15.99997809,6.154552891,14.77122559,0.523314845,0.850827784,6.554849656,20.46455844,4.308218972,27.46865534,2.408781282,4.911051718,NA,66.96694319
109,1st,fresh leaves,DP,2,74.21366294,16.98192858,7.071995439,13.50162173,0.523675643,0.933400147,6.40694967,19.60801203,4.246076865,26.93570231,2.41420708,4.822172169,NA,65.36652028
109,1st,fresh leaves,DP,3,74.20536921,16.68513816,6.256425791,14.05481528,0.499839332,0.963308004,6.685521301,20.35975089,4.429350162,26.74244841,2.481497492,4.810074766,NA,66.47195102
109,1st,fresh leaves,T12,1,78.03519093,22.80096301,9.517974727,15.12185775,0.701687583,0.784552714,6.341545959,20.26950139,4.473192295,27.59371307,2.671800491,5.265723481,NA,67.4000294
109,1st,fresh leaves,T12,2,91.66061308,15.2920852,5.343833127,14.25419424,0.609013882,0.947050037,8.014888994,27.6843169,5.795308601,28.81482509,2.805680081,5.414866475,NA,79.47693618
109,1st,fresh leaves,T12,3,89.923228,16.36011434,6.086990229,14.90557925,0.872884029,0.893157371,7.931754246,26.73569867,5.407366544,27.92063743,2.570165475,5.160277317,NA,76.61905706
109,1st,black tea,DP,1,33.35936965,14.36026828,3.328487377,13.70213251,2.259786727,0.472413102,2.09048468,3.07346795,1.041580511,6.528395833,1.29547382,2.474002608,NA,16.9758185
109,1st,black tea,DP,2,34.41008634,15.42803524,3.987643076,14.33402326,2.470259386,0.461044337,2.289380537,3.033202763,1.138967326,6.498621678,1.319905726,2.454480399,NA,17.19560277
109,1st,black tea,DP,3,33.28248749,15.30729388,4.183391281,13.58411637,2.113126572,0.399672176,1.994534446,2.6077459,0.99615743,6.324771532,1.366624796,2.301727162,NA,15.99123344
109,1st,black tea,T12,1,39.0201429,19.14504359,5.097646942,14.27216067,2.458890437,0.827370248,2.126527883,2.711258529,1.217157618,6.514667809,1.425561362,2.598943357,NA,17.4214868
